Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.16294314037292526,0.07630659536653027,0.29720487489021935,-11296.471781906173,-4793.089652428207,-24858.583285755805
Albania,0.1566071330698009,0.06703342454921807,0.2791738565747234,-513.4914907355371,-191.8015315825146,-1082.9043046786473
Algeria,0.24346054748100812,0.1276538672149216,0.3931300840226377,-26153.411185264005,-10963.187094905366,-57361.68823782061
Andorra,0.24830394278245976,0.14197183495228624,0.39733396482374067,-5.47905908980952,-2.0562918193963835,-12.436225026739429
Angola,0.27194816802336197,0.1490040812221107,0.4563310036579777,-29752.858241448033,-12789.782353164463,-65324.53763121477
Antigua & Barbuda,0.23825763147442697,0.14310123882876075,0.3911461364455106,-52.83106867708234,-24.654497038989216,-114.4010815922794
Argentina,0.1912735686271593,0.08897296026989232,0.33124104540374466,-7493.620959990934,-1519.1066456998053,-19328.559602266057
Armenia,0.22127516087969906,0.12337401616948632,0.3532022427508099,-991.4257998439386,-395.68158975043576,-1882.8462479820002
Australia,0.27526813092948965,0.16308515156373715,0.4510297211749842,-2411.0208487438445,-1078.790762226523,-5658.979997889574
Austria,0.2493417542359116,0.13575587290568614,0.41937368871000963,-521.7397888648147,-150.25841033647538,-1237.0933031783977
Azerbaijan,0.21100387093068523,0.11095525580283837,0.36786093134297587,-6255.373314789349,-2629.935533577621,-13022.074180473252
Bahamas,0.28153659548457155,0.15853813551621357,0.4558203920785891,-293.5483413258388,-119.44116392208777,-612.210019224731
Bahrain,0.24131628290954915,0.13283845938039648,0.3888851693113249,-747.8729298771639,-325.9766604082782,-1732.491192899469
Bangladesh,0.15983619540926464,0.09172392260549467,0.2546583852004719,-81592.09942756832,-37509.640923027844,-150477.21053421247
Barbados,0.25716324443761684,0.14565200969988296,0.41579027943909896,-178.73317605440008,-79.93944136931837,-361.2001430421424
Belarus,0.20672854945539546,0.12003895311432071,0.34677727602716524,-2616.6561086618813,-1143.2433976156226,-5478.201165958698
Belgium,0.24277829417401117,0.13288514481018363,0.412132401492836,-799.50382430371,-336.2857105068166,-1607.3959320513893
Belize,0.1886469238634292,0.10495217454572843,0.3269994588905156,-298.4627861037936,-132.23910758364585,-632.4208482039948
Benin,0.2749693446808945,0.14540363494686342,0.43426807230933545,-18120.335284644898,-8502.516438435317,-35544.859998568194
Bhutan,0.26501419405638493,0.1517537287353934,0.4519549048395177,-925.7477326452329,-405.1448024908575,-1905.7358142225214
Bolivia,0.26660180303532943,0.1433310274491035,0.4435807498388789,-6382.984257336965,-2541.3854152823997,-12831.70299897561
Bosnia & Herzegovina,0.21697835666925572,0.12536286571103583,0.3589644311892443,-968.1954277407092,-410.273503166535,-2146.0126066924277
Botswana,0.19410814582482522,0.10288763172204704,0.3440231362259493,-1265.813414012363,-532.1788243259648,-2808.771939050497
Brazil,0.23159179512007158,0.12191346363592684,0.3721060471824604,-133905.3400222674,-60908.152755545736,-259980.38761753548
Brunei,0.29047813321736016,0.1559471444220101,0.4582879365948465,-85.05688812184545,-23.995408318403197,-185.32501664614793
Bulgaria,0.22161627168608594,0.1075018060186339,0.3512335114736876,-2072.5699048088845,-852.9258000663134,-4589.676625545486
Burkina Faso,0.14968649936768585,0.07859338454340331,0.2405709473595183,-14652.420795356898,-6162.854501605295,-27097.25580383274
Burundi,0.17315141581648383,0.092311179088477,0.2897912247449214,-5242.687938264606,-2191.985903374786,-10035.987141407006
Cambodia,0.08305681629143367,0.023151372203055184,0.15197292843316432,-4539.049395646074,-1111.1635407893314,-9713.867200496423
Cameroon,0.18930675393628293,0.10703059165475769,0.29632975923371946,-18628.70300420359,-8657.934248389467,-35590.668615958595
Canada,0.21718619811848378,0.11741886979328202,0.35610393323455913,-3660.0571357853523,-936.771309839973,-8860.744295149238
Cape Verde,0.2753974451376161,0.14328274840609795,0.4412046646212739,-485.9803191911147,-210.25211163917984,-976.5138804085227
Central African Republic,0.13483628933558525,0.06946011226459062,0.21460974589392082,-2341.5841678215947,-994.3997912322716,-4550.95601852443
Chad,0.08954253017032096,0.04657374972314053,0.15611319728095957,-7149.913283130845,-3081.838085679509,-16863.891756984027
Chile,0.15995823584855198,0.07670148608059604,0.2915582751550849,-973.8864826406575,-285.9800766692672,-2597.1159131168347
China,0.2932310687745239,0.16346678818200405,0.4722896492109816,-386747.7468830212,-190920.35358386813,-696256.6076654411
Colombia,0.1979803616775221,0.1073709324605742,0.3126562259403067,-6981.2948089767015,-2909.2354070257434,-13356.328947331398
Comoros,0.2724045108341757,0.14721484986028074,0.4464197059111042,-522.2976186383623,-225.03559094300576,-1073.0407745512666
Congo - Brazzaville,0.19028886604767775,0.09001203758309284,0.3408829350347716,-4301.280193986733,-1767.1233737994196,-9307.328122002487
Congo - Kinshasa,0.26286239675085643,0.14355009540020092,0.46761162183889304,-78253.1813098382,-38318.579158094595,-159292.97852448176
Costa Rica,0.21931636514531008,0.11757941849858372,0.3537539144203549,-706.2175737718371,-197.13151028168636,-1695.0517148646225
Croatia,0.24195300075963466,0.13399760091073137,0.39355859093617307,-1011.3324319462788,-414.7382801085506,-2201.854729065782
Cuba,0.2480700361845423,0.12068625227172461,0.40957521723110396,-5293.079749684555,-2113.485828930201,-11843.447131158713
Cyprus,0.23828933982314326,0.12503331906556348,0.4005857498001872,-95.50849337585092,-29.615667753289937,-220.11536037081228
Czechia,0.24455762526628194,0.1379174048015574,0.39021992607903966,-2663.025985734607,-1139.1968535023136,-5377.7396489819785
Côte d’Ivoire,0.25156859268704457,0.14283584516662465,0.3900415969126557,-29531.160884720142,-14781.879782033702,-56079.84809978107
Denmark,0.2437990536056481,0.14047705973911973,0.40836485434410863,-334.3964255948512,-111.03249397020697,-822.2034492696581
Djibouti,0.0941577238000375,0.03613730978203277,0.1980887468644126,-277.2165595582519,-87.94394888767015,-669.2108186040413
Dominica,0.2363085122183209,0.11959682591634783,0.4051211856134113,-42.5875693389919,-18.726384544923594,-93.09868298236852
Dominican Republic,0.13791067267986462,0.07272511369929514,0.2336249656868048,-4322.706572459492,-1671.8843018515147,-8652.787072056466
Ecuador,0.2563430346717268,0.13261193134863766,0.4367926805798508,-3151.254055081482,-1449.1402497987733,-6447.898751684721
Egypt,0.1610452733010115,0.07025301345995158,0.27732021163579557,-23176.171790812667,-9197.468677688927,-44797.39397425976
El Salvador,0.26439615204751576,0.14039694727650387,0.4404575512478225,-996.3541960643772,-401.32121323194247,-2049.3177910205513
Equatorial Guinea,0.22647602196584696,0.12239960159323662,0.36822070008177,-1207.0508018186129,-457.12853190003534,-2480.8358639940393
Estonia,0.2612503251402938,0.14294480249948913,0.4213131360453332,-370.6914767431064,-168.3117161295069,-730.7799227342024
Eswatini,0.24074246118599915,0.1361900644051416,0.3651545522330742,-709.2886029183825,-322.3860549122891,-1353.9557358490308
Ethiopia,0.12185217126869952,0.06589408483398775,0.20438149064996708,-24189.792196684502,-11655.421737527628,-44921.379297609375
Fiji,0.20400240429616964,0.10616096030258645,0.34872748572843015,-532.7184868501239,-227.47584088332317,-1071.7477420018147
Finland,0.2436720106196466,0.13671942506985038,0.4024811426158456,-323.3206863692123,-116.59980282924629,-704.3105928586325
France,0.2527989852267757,0.13264237910915874,0.41454635126224354,-4795.975229660615,-2274.020300870093,-9651.0638942712
Gabon,0.2452523070601291,0.13128705398689652,0.4187794456868033,-2639.5467806551123,-1207.9686254693927,-5430.8007685021
Gambia,0.27087737445804627,0.14693352944965127,0.44663290877907286,-3541.5891774419288,-1637.0752320218794,-7015.819398407792
Georgia,0.20303979112458329,0.10913595520253301,0.3483252754223989,-1240.7674040044242,-560.068739103995,-2601.9544350322835
Germany,0.2535866076128226,0.1285729002362469,0.39970432437443587,-8497.462359856061,-2044.8296608328085,-21500.12330356634
Ghana,0.2082131871944779,0.11475684298732591,0.3575357755974157,-36624.42267742194,-18505.15073935053,-73455.66255736987
Greece,0.24052707861378197,0.13708626767729826,0.3945797859879828,-767.9608557419051,-247.43631456702687,-1719.5842118396088
Grenada,0.29080123538250696,0.1605803917095638,0.46930541029583167,-83.90760262263245,-37.125962349932614,-159.22816248587236
Guatemala,0.10619539272668016,0.04451776275976561,0.19112636106085001,-6119.8522765499,-2247.778870284542,-13481.862632744329
Guinea,0.19635431004219078,0.10873910346636288,0.30505822106081526,-9852.773403887073,-4945.536784793696,-19218.001819580102
Guinea-Bissau,0.2139787763211694,0.12890662909990658,0.31998946067089906,-2369.1982345543065,-1016.1141715317805,-4379.706285958043
Guyana,0.15941932144718887,0.08809534366427586,0.2662717463043308,-378.4051976475246,-168.5979001952732,-780.7979694594289
Haiti,0.232360015868667,0.12402595715975027,0.40681296876314166,-15882.97421475815,-6702.343756008577,-33530.99236929141
Honduras,0.13738551683173367,0.07241030220364122,0.2228032100916286,-1529.9650356768393,-659.1546489130588,-3177.6618651003346
Hungary,0.23761988794171535,0.13637704642294748,0.3862672967370687,-2720.2878300468583,-1171.0631072707324,-5850.219031040836
Iceland,0.24296020844293983,0.12258077689496188,0.39869850020544934,-20.66304058119219,-7.740604617095895,-43.4982010455612
India,0.14251995503959358,0.07511819825979896,0.2351299602512171,-985852.0708943945,-472462.26244376705,-1722572.061280601
Indonesia,0.1347245863004661,0.06652559926352711,0.2238738108241709,-50703.87201914712,-19724.145296183506,-106057.16258087475
Iran,0.12288655752702679,0.03675653541001726,0.24181163955166646,-24462.548575356428,-7414.144215430776,-53553.89972292519
Iraq,0.1442732481247694,0.06441225652240876,0.28375979291399606,-14128.76946957302,-5298.004942871737,-34737.89695884819
Ireland,0.24775323389098985,0.13606244617480082,0.40233491137395433,-286.37430482003265,-93.10617106561,-660.8973227303626
Israel,0.24574440111249995,0.14101697425935505,0.4001427696363981,-726.4351009482264,-232.54184821529384,-1784.3428504344945
Italy,0.23669265850996202,0.1339006767708918,0.3942169354666367,-3578.691541578648,-1450.8821550623338,-7949.30400950056
Jamaica,0.21218834055523908,0.1050934739121246,0.3595637154226062,-1735.869270859393,-662.5767066876276,-3705.1642081428963
Japan,0.2901608038201809,0.1727463092835029,0.4517851315201654,-14713.93439255283,-5206.46122769037,-32253.616650110718
Jordan,0.19449060559163506,0.09417565650929167,0.3230024942724442,-7015.152798238652,-2854.106554754457,-14452.997510037694
Kazakhstan,0.2345518191932555,0.1328048580634582,0.3648204653263587,-13481.270532749415,-6405.942478197465,-28089.683810215123
Kenya,0.22920774397521781,0.13157888727771505,0.3467457644884975,-25271.86938552236,-13631.847848670619,-42458.58667892858
Kiribati,0.2833529434316212,0.15177920698915345,0.4679504459702549,-132.23551949083418,-62.426090657096154,-272.44133905907034
Kuwait,0.18852050378776988,0.08444079073908496,0.315502832652376,-1913.8563193981759,-734.821642877379,-3992.318792409723
Kyrgyzstan,0.3351093383237762,0.19304603262788017,0.49942716085216893,-6779.948438122069,-3203.832793605106,-12145.704639341136
Laos,0.11623354354516868,0.05110638604907975,0.19628007840415868,-2454.52487179952,-1038.7878265507918,-4546.178420825968
Latvia,0.2416097808834642,0.13007875571465521,0.3999204030273003,-556.1948363770282,-240.51310451635266,-1117.1791719034607
