Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Lebanon,21.23,42.68,52.08,13.92,27.95,45.36,37.44,74.78,86.36,0.11,0.74,2.26,2812.6,3888,4136.1,9513.1
Lesotho,2.03,4.49,8.26,1.42,2.97,7.34,1.44,2.83,4.19,0.08,0.27,1.03,339.5,659.6,969.9,2230.9
Liberia,1.51,3.42,6.84,1.02,2.17,6.13,0.61,1.17,2.06,0.11,0.74,2.26,83,279.2,754.5,1735.4
Libya,5.74,11.35,17.18,3.82,6.82,16.37,7.91,15.72,19.13,0.25,0.88,2.37,738.8,3895.3,6716.1,15447
Lithuania,41.1,105.4,138.68,24.28,64.75,97.59,57.73,115.43,126.54,0.65,1.24,2.64,12281.8,14286.9,25064.8,57649.1
Luxembourg,77.08,177.74,219.14,43.51,103.03,155.17,123.77,247.5,268.65,0.41,1.02,2.47,52502.5,61253,125006,287513.9
Madagascar,1.58,3.44,7.16,1.15,2,5.66,0.76,1.47,2.6,0.11,0.72,2.2,31,93,516.6,1188.2
Malawi,1.79,3.93,7.84,1.44,2.91,6.84,0.94,1.82,3.18,0.08,0.27,1.02,45.2,148.4,645.2,1483.9
Malaysia,6.21,12.17,18.16,3.81,6.68,16.38,8.83,17.51,21.08,0.31,0.93,2.4,3358.1,4557.4,11993.2,27584.3
Maldives,5.39,10.62,15.53,3.47,6.06,14.93,7.73,15.34,17.85,0.12,0.75,2.27,6950.7,9542.5,11780.8,27095.9
Mali,1.74,3.64,7.61,1.74,2.66,9.24,0.88,1.7,2.95,0.09,0.5,1.64,41.7,133.3,833.3,1916.6
Malta,24.35,71.09,99.68,16.12,44.24,82.46,26.33,52.62,60.4,0.86,1.42,2.79,21159.1,24913.1,34127.5,78493.3
Marshall Islands,3.98,7.84,13.41,2.69,5.26,12.03,4.71,9.27,12.23,0.11,0.74,2.26,3859.6,3610.6,6225.2,14317.9
