Portugal,PRT,10578174
Paraguay,PRY,6844146
West Bank and Gaza,PSE,5165775
Pacific island small states,PSS,2689224
Post-demographic dividend,PST,1119236161
French Polynesia,PYF,281118
Qatar,QAT,2656032
Romania,ROU,19059479
Russian Federation,RUS,143826130
Rwanda,RWA,13954471
South Asia,SAS,1951539835
Saudi Arabia,SAU,33264292
Sudan,SDN,50042791
Senegal,SEN,18077573
Singapore,SGP,5917648
Solomon Islands,SLB,800005
Sierra Leone,SLE,8460512
El Salvador,SLV,6309624
San Marino,SMR,33860
Somalia,SOM,18358615
Serbia,SRB,6623183
Sub-Saharan Africa (excluding high income),SSA,1259782580
South Sudan,SSD,11483374
Sub-Saharan Africa,SSF,1259902353
Small states,SST,20253539
Sao Tome and Principe,STP,230871
Suriname,SUR,628886
Slovak Republic,SVK,5426740
Slovenia,SVN,2120461
Sweden,SWE,10536632
Eswatini,SWZ,1230506
Sint Maarten (Dutch part),SXM,42749
Seychelles,SYC,119773
Syrian Arab Republic,SYR,23594623
Turks and Caicos Islands,TCA,46198
Chad,TCD,19319064
East Asia & Pacific (IDA & IBRD countries),TEA,2111139152
Europe & Central Asia (IDA & IBRD countries),TEC,459025452
Togo,TGO,9304337
Thailand,THA,71702435
Tajikistan,TJK,10389799
Turkmenistan,TKM,7364438
Latin America & the Caribbean (IDA & IBRD countries),TLA,642397939
Timor-Leste,TLS,1384286
Middle East & North Africa (IDA & IBRD countries),TMN,434952414
Tonga,TON,104597
South Asia (IDA & IBRD),TSA,1951539835
Sub-Saharan Africa (IDA & IBRD countries),TSS,1259902353
Trinidad and Tobago,TTO,1367510
Tunisia,TUN,12200431
Turkiye,TUR,85325965
Tuvalu,TUV,9816
Tanzania,TZA,66617606
Uganda,UGA,48656601
Ukraine,UKR,37732836
Upper middle income,UMC,2816864459
Uruguay,URY,3388081
United States,USA,334914895
Uzbekistan,UZB,35652307
St. Vincent and the Grenadines,VCT,101323
"Venezuela, RB",VEN,28300854
British Virgin Islands,VGB,38985
Virgin Islands (U.S.),VIR,104917
Viet Nam,VNM,100352192
Vanuatu,VUT,320409
World,WLD,8061876001
Samoa,WSM,216663
Kosovo,XKX,1756366
"Yemen, Rep.",YEM,39390799
South Africa,ZAF,63212384
Zambia,ZMB,20723965
Zimbabwe,ZWE,16340822
