Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
France,18.43,58.64,96.45,10.07,35.9,51.05,8.68,17.32,28.65,0.19,0.31,0.52,34344.5,40477.4,40886.3,94038.4
Gabon,5.46,11.74,18.72,3.3,6.47,13.49,3.69,7.32,11.55,0.34,0.68,1.46,1499.5,2116.9,8820.3,20286.8
Gambia,1.67,4.05,7.3,1.76,2.67,9.52,0.76,1.46,2.77,0.09,0.60,1.85,40.4,129.3,808.3,1859
Georgia,4.47,9.18,16.88,3.75,6.48,16.94,3.19,6.21,11.21,0.33,0.44,0.64,2870.2,3938.2,6675,15352.4
Germany,19.54,61.28,100.88,10.63,37.28,55.13,8.7,17.35,28.71,0.22,0.32,0.48,41897.5,49205.2,48718,112051.4
Ghana,1.96,4.7,8.63,1.54,2.88,8.28,1.08,2.1,4.13,0.08,0.47,1.53,264.4,506.8,2203.6,5068.2
Greece,9.36,40.23,63.22,6.16,24.15,49.33,0.46,0.87,1.75,0.04,0.13,0.27,12311.7,14398.4,20867.3,47994.7
Grenada,6.69,13.83,22.57,3.77,7.41,15.12,4.64,9.15,14.57,0.34,0.69,1.50,3197.4,4457,9689.1,22284.9
Guatemala,3.61,7.75,13.28,2.32,4.66,10.71,2.26,4.38,7.39,1.56,1.97,2.96,2353.5,3174.5,5473.2,12588.4
Guinea,1.63,4.15,7.24,1.42,2.99,7.85,0.76,1.46,2.81,0.10,0.64,1.98,90.9,272.7,1515.2,3484.9
Guinea-Bissau,1.74,4.28,7.57,1.86,2.82,9.65,0.84,1.62,3.04,0.10,0.68,2.09,85.3,263.8,775.8,1784.4
Guyana,3.52,7.41,13.08,2.79,4.62,13.24,2.24,4.34,7.42,0.11,0.54,1.55,6369.8,8553.8,18199.5,41858.8
Haiti,2.1,4.7,8.83,1.7,3.37,8.61,1.13,2.13,4.1,0.08,0.51,1.59,104.9,349.7,1748.3,4021
Honduras,3.22,6.78,12.13,2.67,4.36,12.52,1.97,3.8,6.57,0.07,0.29,1.00,972.9,1884.9,3040.2,6992.4
Hungary,19.32,60.27,97.72,11.12,38.13,55.18,9.21,18.38,30.02,0.01,0.08,0.16,8091.7,9562.9,18390.2,42297.4
Iceland,46.24,114.78,183.21,27.94,71.83,107.98,29.08,58.11,91.39,0.02,0.16,0.43,51426.7,60242.8,73466.8,168973.6
India,1.7,3.92,7.38,1.34,2.54,7.41,0.83,1.55,2.94,0.06,0.41,1.25,289.3,578.6,2410.9,5545
