location_name year_id rei_name Prevalence Description
"American Samoa" 2030 "Mild anemia" 3023.5267504060484 Predicted_stable
"American Samoa" 2030 "Moderate anemia" 1775.1035047664693 Predicted_stable
"American Samoa" 2030 "Severe anemia" 110.06098242055265 Predicted_stable
Andorra 1990 "Mild anemia" 1119 Observed
Andorra 1990 "Moderate anemia" 220 Observed
Andorra 1990 "Severe anemia" 5 Observed
Andorra 1995 "Mild anemia" 1291 Observed
Andorra 1995 "Moderate anemia" 251 Observed
Andorra 1995 "Severe anemia" 6 Observed
Andorra 2000 "Mild anemia" 1231 Observed
Andorra 2000 "Moderate anemia" 236 Observed
Andorra 2000 "Severe anemia" 5 Observed
Andorra 2005 "Mild anemia" 1423 Observed
Andorra 2005 "Moderate anemia" 278 Observed
Andorra 2005 "Severe anemia" 6 Observed
Andorra 2010 "Mild anemia" 1450 Observed
Andorra 2010 "Moderate anemia" 303 Observed
Andorra 2010 "Severe anemia" 7 Observed
Andorra 2015 "Mild anemia" 1278 Observed
Andorra 2015 "Moderate anemia" 273 Observed
Andorra 2015 "Severe anemia" 7 Observed
Andorra 2020 "Mild anemia" 1300 Observed
Andorra 2020 "Moderate anemia" 281 Observed
Andorra 2020 "Severe anemia" 7 Observed
Andorra 2021 "Mild anemia" 1307 Observed
Andorra 2021 "Moderate anemia" 283 Observed
Andorra 2021 "Severe anemia" 7 Observed
Andorra 2030 "Mild anemia" 1361.8894596463574 Predicted_trend
Andorra 2030 "Moderate anemia" 299.08129135852374 Predicted_trend
Andorra 2030 "Severe anemia" 6.990078963584225 Predicted_trend
Andorra 2030 "Mild anemia" 1353.138409139651 Predicted_stable
Andorra 2030 "Moderate anemia" 298.49772097603017 Predicted_stable
Andorra 2030 "Severe anemia" 7.718653560920031 Predicted_stable
Angola 1990 "Mild anemia" 799152 Observed
Angola 1990 "Moderate anemia" 536577 Observed
Angola 1990 "Severe anemia" 28084 Observed
Angola 1995 "Mild anemia" 976386 Observed
Angola 1995 "Moderate anemia" 645524 Observed
Angola 1995 "Severe anemia" 31114 Observed
Angola 2000 "Mild anemia" 1216885 Observed
Angola 2000 "Moderate anemia" 790141 Observed
Angola 2000 "Severe anemia" 33969 Observed
Angola 2005 "Mild anemia" 1536690 Observed
Angola 2005 "Moderate anemia" 938878 Observed
Angola 2005 "Severe anemia" 35477 Observed
Angola 2010 "Mild anemia" 1812808 Observed
Angola 2010 "Moderate anemia" 1032036 Observed
Angola 2010 "Severe anemia" 35647 Observed
Angola 2015 "Mild anemia" 2118754 Observed
Angola 2015 "Moderate anemia" 1140604 Observed
Angola 2015 "Severe anemia" 39768 Observed
Angola 2020 "Mild anemia" 2506377 Observed
Angola 2020 "Moderate anemia" 1342376 Observed
Angola 2020 "Severe anemia" 48994 Observed
Angola 2021 "Mild anemia" 2588716 Observed
Angola 2021 "Moderate anemia" 1372259 Observed
Angola 2021 "Severe anemia" 50526 Observed
Angola 2030 "Mild anemia" 3330655.44861856 Predicted_trend
Angola 2030 "Moderate anemia" 1628571.2955563844 Predicted_trend
Angola 2030 "Severe anemia" 63871.868039754954 Predicted_trend
Angola 2030 "Mild anemia" 3426060.2813304523 Predicted_stable
Angola 2030 "Moderate anemia" 1819571.1923699446 Predicted_stable
Angola 2030 "Severe anemia" 67292.11413631486 Predicted_stable
"Antigua & Barbuda" 1990 "Mild anemia" 3506 Observed
"Antigua & Barbuda" 1990 "Moderate anemia" 2346 Observed
"Antigua & Barbuda" 1990 "Severe anemia" 171 Observed
"Antigua & Barbuda" 1995 "Mild anemia" 4166 Observed
"Antigua & Barbuda" 1995 "Moderate anemia" 2688 Observed
"Antigua & Barbuda" 1995 "Severe anemia" 185 Observed
"Antigua & Barbuda" 2000 "Mild anemia" 4902 Observed
"Antigua & Barbuda" 2000 "Moderate anemia" 3059 Observed
"Antigua & Barbuda" 2000 "Severe anemia" 201 Observed
"Antigua & Barbuda" 2005 "Mild anemia" 5272 Observed
"Antigua & Barbuda" 2005 "Moderate anemia" 3156 Observed
"Antigua & Barbuda" 2005 "Severe anemia" 196 Observed
"Antigua & Barbuda" 2010 "Mild anemia" 5287 Observed
"Antigua & Barbuda" 2010 "Moderate anemia" 3066 Observed
"Antigua & Barbuda" 2010 "Severe anemia" 181 Observed
"Antigua & Barbuda" 2015 "Mild anemia" 5375 Observed
"Antigua & Barbuda" 2015 "Moderate anemia" 3009 Observed
"Antigua & Barbuda" 2015 "Severe anemia" 167 Observed
"Antigua & Barbuda" 2020 "Mild anemia" 5183 Observed
"Antigua & Barbuda" 2020 "Moderate anemia" 2820 Observed
"Antigua & Barbuda" 2020 "Severe anemia" 152 Observed
"Antigua & Barbuda" 2021 "Mild anemia" 5138 Observed
"Antigua & Barbuda" 2021 "Moderate anemia" 2796 Observed
"Antigua & Barbuda" 2021 "Severe anemia" 151 Observed
"Antigua & Barbuda" 2030 "Mild anemia" 4741.715177958058 Predicted_trend
"Antigua & Barbuda" 2030 "Moderate anemia" 2598.2849695400705 Predicted_trend
"Antigua & Barbuda" 2030 "Severe anemia" 143.7530638128424 Predicted_trend
"Antigua & Barbuda" 2030 "Mild anemia" 4936.0005133139985 Predicted_stable
"Antigua & Barbuda" 2030 "Moderate anemia" 2683.5536517487 Predicted_stable
"Antigua & Barbuda" 2030 "Severe anemia" 144.54438668425124 Predicted_stable
Argentina 1990 "Mild anemia" 1123499 Observed
Argentina 1990 "Moderate anemia" 168061 Observed
Argentina 1990 "Severe anemia" 2304 Observed
Argentina 1995 "Mild anemia" 1240780 Observed
Argentina 1995 "Moderate anemia" 153365 Observed
Argentina 1995 "Severe anemia" 1515 Observed
Argentina 2000 "Mild anemia" 1469794 Observed
Argentina 2000 "Moderate anemia" 158582 Observed
Argentina 2000 "Severe anemia" 1079 Observed
Argentina 2005 "Mild anemia" 1494848 Observed
Argentina 2005 "Moderate anemia" 166625 Observed
Argentina 2005 "Severe anemia" 1301 Observed
Argentina 2010 "Mild anemia" 1664078 Observed
Argentina 2010 "Moderate anemia" 191306 Observed
Argentina 2010 "Severe anemia" 1495 Observed
Argentina 2015 "Mild anemia" 1810696 Observed
Argentina 2015 "Moderate anemia" 212560 Observed
Argentina 2015 "Severe anemia" 1748 Observed
Argentina 2020 "Mild anemia" 1866942 Observed
Argentina 2020 "Moderate anemia" 225799 Observed
Argentina 2020 "Severe anemia" 2045 Observed
Argentina 2021 "Mild anemia" 1882095 Observed
Argentina 2021 "Moderate anemia" 229383 Observed
Argentina 2021 "Severe anemia" 2107 Observed
Argentina 2030 "Mild anemia" 2024881.6187973595 Predicted_trend
Argentina 2030 "Moderate anemia" 262691.61680599535 Predicted_trend
Argentina 2030 "Severe anemia" 2666.48625954711 Predicted_trend
Argentina 2030 "Mild anemia" 2100958.7326015537 Predicted_stable
Argentina 2030 "Moderate anemia" 262886.7055578411 Predicted_stable
Argentina 2030 "Severe anemia" 2527.617011733213 Predicted_stable
Armenia 1990 "Mild anemia" 111059 Observed
Armenia 1990 "Moderate anemia" 81981 Observed
Armenia 1990 "Severe anemia" 7128 Observed
Armenia 1995 "Mild anemia" 112358 Observed
Armenia 1995 "Moderate anemia" 84996 Observed
Armenia 1995 "Severe anemia" 7346 Observed
Armenia 2000 "Mild anemia" 115219 Observed
Armenia 2000 "Moderate anemia" 83271 Observed
Armenia 2000 "Severe anemia" 6504 Observed
Armenia 2005 "Mild anemia" 118384 Observed
Armenia 2005 "Moderate anemia" 76701 Observed
Armenia 2005 "Severe anemia" 5087 Observed
Armenia 2010 "Mild anemia" 112661 Observed
Armenia 2010 "Moderate anemia" 67755 Observed
Armenia 2010 "Severe anemia" 4248 Observed
Armenia 2015 "Mild anemia" 106593 Observed
Armenia 2015 "Moderate anemia" 60237 Observed
Armenia 2015 "Severe anemia" 3664 Observed
Armenia 2020 "Mild anemia" 104993 Observed
Armenia 2020 "Moderate anemia" 56944 Observed
Armenia 2020 "Severe anemia" 3432 Observed
Armenia 2021 "Mild anemia" 105120 Observed
Armenia 2021 "Moderate anemia" 56719 Observed
Armenia 2021 "Severe anemia" 3418 Observed
Armenia 2030 "Mild anemia" 106462.285025349 Predicted_trend
Armenia 2030 "Moderate anemia" 54890.55777807611 Predicted_trend
Armenia 2030 "Severe anemia" 3304.338737852575 Predicted_trend
Armenia 2030 "Mild anemia" 102763.5193123288 Predicted_stable
Armenia 2030 "Moderate anemia" 54295.94514352542 Predicted_stable
Armenia 2030 "Severe anemia" 3118.0141534460604 Predicted_stable
Australia 1990 "Mild anemia" 367350 Observed
Australia 1990 "Moderate anemia" 101439 Observed
